Country,Unnamed: 1,Notes,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Korea, South",,58,...,...,...,...,185.38715255130273,465.0489490380391,515.48766405038566,738.86073946458339,635.11794485728217,749.74777502142888,795.47503138404841,771.44138644014788,804.33227199599276,933.18978145064784,771.4281703098228,729.5495688455411,766.48935654392687,1384.2105430641043,1538.9143214548119,1813.1309667705934,2090.3653813386036,2161.0371209266305,2539.9612268907858,2971.1195554865981,2988.7254284905753,3822.7713834231977,4412.2675948022252,6342.1882034695609,7538.5520801023067,9389.73389581825,8818.8978419847062,9661.1100661451437,10010.012700298641,10435.180953796174,10862.246545248532,11137.101795210745,12040.085982114446,12945.056831532876,13297.948981411202,14126.944195151158,15023.942145065346,15573.769059025975,15998.84586085925,16982.728969109186,17765.418897876567,18279.3469472087,19982.547807678809,20263.516991197455,20762.159806498148,20037.196268502896,19499.690987140471,20699.450609974403,21291.47029548894,21878.263836637478,22622.076246595152,23615.885539953018,25541.273687612324,26461.661887906204,27660.210307759688,29469.616269173537,31322.399353184417,31582.655766347387,32015.384806542257,32830.558891846988,33825.125698067757,35155.727465332042,36521.427223143473,37436.507458776396,38125.158261634235,40058.698169909141,43285.760195326126,45563.29257418769,47547.953062922927,46550.17321693337,46841.237340501611,47604.584211973961,48848.004458536343
Indonesia,,62,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1335.9643030824293,1709.843888174046,1710.0723827534775,1773.6262629475102,1936.6711003496873,2239.4001743629274,2600.8122756189796,2930.5702461304377,2894.2823939919331,2658.3592808808289,2655.9308803096392,2636.9140615950787,2595.2476177916424,2364.8125928701124,2259.6608694375213,2316.5087210743941,2561.3611474960517,2604.9966876294775,2804.76896455264,2692.6809539034757,2976.0363261201474,3132.1362811667805,3504.5628703641232,4606.0755950618623,3011.7606675792267,2288.4941321426541,2354.60577707385,2093.382068269585,2530.3857147518934,3402.490779853531,3803.9972661508991,3303.9273529741045,3354.91719848057,4034.3657517919619,3748.3037463983374,3932.591658969955,4618.56410360582,5294.8117501132,6079.3977067934793,8173.4651304987337,7201.3292775496011,8374.3484979710884,7815.1891290653184,9009.5533161400253,7921.1358131049174,8313.03566579007,9678.0125387304743,8764.6055699271419,10050.895761970305,11055.512315834692,12012.3945130024,15329.50803356934
Russia,,83,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,47459.48106054603,41487.957891654965,39220.3301244207,25805.440647828069,24366.317027217305,26638.976359264347,15842.015607448539,17592.859479679755,23736.830565615041,25652.409867730334,28417.539274321454,29796.843210299659,31144.104547258477,35392.461132302829,39174.083335949217,42641.044061521818,46852.918663659839,49157.594103023432,50156.8987420204,53529.328577253706,62021.825977458713,65044.3821483514,69709.601491747409,75132.887419066523,80545.6315734127,65267.841474468551,62808.698751312928,65623.942952903337,67165.6897219991,68496.307384220025,88678.706973579785,108959.52968754475,149401.87396545109,158236.35368590037
France,,101,15045.352377538591,16267.573153908766,21788.409718737465,27677.916277564989,30826.9099611743,26277.341422616715,24487.47342656062,31297.988811286545,33502.953495557646,30860.45735189518,31558.358754513672,32393.097731942955,33665.072924936023,34792.107811196496,34148.625113274065,35152.35182641718,35660.6888466378,36735.090975564512,38641.460183337687,38687.230734867378,37004.958061139383,37211.508424510605,37720.9365107139,38707.659620235332,40120.109018575677,39971.561723177721,41764.719411331942,43571.066404427533,45947.64990774334,48551.895205229433,49682.347907591109,50668.979885900357,51929.679430302233,52922.124416873659,53903.839983182406,53583.818784745781,53520.791316006755,55093.029858189257,56706.507123137169,56677.608147145671,57372.377434407746,57118.609698899185,57490.581266523805,55681.828950292249,55064.926996347116,55348.219280982063,52608.275641890563,51356.910921895673,51542.457498951975,50172.469611357061,50594.526564605134,50022.242029363573,49868.029907365708,50892.619571601877,52427.7856131684,53859.124002998084,52755.151157948792,52998.230900973453,52978.256701094964,52593.2430314527,56484.423075357321,53806.845118261605,52206.7298487495,51404.783163450593,51071.734869172622,51960.539036812719,53381.982543970924,53500.063537557573,54391.08417055937,54701.000108947868,56073.561440857353,58039.151683874945,60510.285344940829,60193.327247225556,60793.843583627211,63574.699212500054,64515.088591705011
Germany,,,...,...,...,...,19577.730927632885,19821.40914589863,22903.042144857929,21812.367756434716,26546.265426227026,19885.870637207798,31860.28113364592,34303.831592294118,36474.036840915156,46373.183922463308,52060.369178706162,49919.998077416552,49251.8657284474,48341.788494829867,50287.845287043085,44633.10535654967,48955.5874571003,49512.757608844819,53045.844460450615,56743.574900156935,58920.939434183376,61534.181590168053,61255.324776375965,60812.889561530741,60552.050569144107,63126.71616672082,64007.956799172731,64866.70646293649,65628.90834274111,64782.006754864808,65344.393264686267,64687.1539537877,64825.307329466159,66544.985065767978,67736.0370429448,67193.33897504292,67009.577087954356,70619.36631408,65354.304324534831,62155.578668960581,55876.654045386364,52110.81848124494,51253.292203014775,50251.178090521978,48396.286498652582,48563.441886964843,49545.202260240381,48763.546997160884,47962.070004002861,48092.533545077837,47435.302054496307,45982.114170560795,45266.85423076625,44461.318426051344,44529.323710253368,45582.1593879221,47308.408717127379,47423.515340743361,46462.092485389519,47789.727135083231,46023.101094569553,46077.631704642379,46868.79272168575,48902.680632670264,50305.328104132983,51693.567321498973,56704.668391866406,60418.430862471432,59887.722771150518,62499.508802804543,70204.605231407113,86148.2850785157,106727.24823993508
Italy,,87,6342.9344243941187,7487.93087484273,8482.6491609940131,9493.94705282052,8624.5168821327061,9459.5810697522884,9318.8915564541276,9593.3700930597643,9897.3094812956169,10190.412311533682,10507.013568024911,11033.597989200165,11332.121803108004,12533.659723171062,13948.867895465419,14284.743159821537,14825.70325986573,15909.720144747776,15628.353408987674,15817.448633887703,15611.741243376526,16478.721139043479,18519.334687973329,20554.450071726609,20521.021367672856,20498.489276238346,19086.605932429895,19028.006391009254,20361.046968825205,21241.74085556118,22604.145786556477,22027.509187874079,23164.954082150962,25845.017229652014,26409.943841940149,27189.590868272204,26918.122323299656,28742.576574224662,31273.779210976645,33221.881142580314,33484.071241796359,32206.119824613375,32660.138630355123,31721.473262278796,31890.633095341556,31102.214235366017,28405.699787780271,31299.658717138434,32819.405319365185,33905.102388491207,35231.371387145431,37581.295652463479,36964.1331018917,37974.449319468782,38283.28095489199,38408.679399890454,36952.353022584139,35755.18260195633,34734.97610180085,36173.072003330904,34987.437965090117,33988.356484020871,33284.613325106315,30766.994624965635,29588.785952823735,26768.194185768472,25645.450421313675,28933.50435134225,28981.203477181611,30011.429997215473,28611.293162463164,35328.846417902576,37010.442221526413,36951.186563551346,35923.527621990746,37849.546135625031,45440.171832301909
United Kingdom,,91,...,37971.667162582795,44708.690570360894,57192.203757878437,63540.922573864344,60324.418332174973,57437.517922968451,56374.970071083662,54438.304985604947,53011.051915818236,52743.023044616755,53833.577708153505,53781.471586891792,54471.921828334293,55402.168327799431,56902.824878846019,57073.175085135153,56768.575901894568,58219.390328091657,57390.097569148049,54234.16615277173,55863.35625241635,55738.278337814772,59288.200327143684,59485.018183524131,59501.218114152784,62512.171990806077,61596.057489427323,58907.805630120434,60780.353731019764,62680.325654772256,66837.7268801117,65470.633300271111,71379.263261579443,74553.76221129534,78251.20576321632,78986.441116287271,78010.9207241824,77160.304533232891,74426.897127651828,75082.144258986,75189.114840846829,76057.621622721068,71040.029795210256,67795.0535184491,65929.831758834116,61838.063045917886,61246.887305296565,59071.863498565326,59264.94012029672,58949.083302872881,60135.948407647666,62517.6773994093,66234.27238238306,70950.182982458515,71830.570374544739,72502.185319369033,72834.761136990142,74817.719006491316,78093.209171056049,79344.439890317808,78010.827666271914,75373.476963280991,73280.47220376147,70601.376078851259,69339.029155913668,66673.576448775362,66441.138190496407,66562.5257163422,67063.507101258656,69849.3632130092,70958.870289736515,72051.0356918993,73189.310425556789,78166.94674681274,89814.565861936033,87984.552148872943
European Union,,†¶103,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,1006.5191784018291,1303.3867204096152,1187.7178293969898,1134.1805281246545
Saudi Arabia,,97,...,...,...,...,...,...,...,...,...,...,...,...,...,...,929.24312777472448,981.61380618463272,1406.9193840194314,2341.3918731320946,2566.3361905408024,2544.5652846843177,3116.8349715705376,3417.2806326276605,4061.6522174758898,5698.4751033286466,7358.4030125561439,...,...,...,21620.466660142636,24513.412299441297,31509.745548786879,35223.723462051625,41017.688893748367,45697.883046789568,37104.094451332239,39850.041009321729,32907.723349450222,...,29277.584106179223,26795.916131308943,25320.910072247341,31820.59872441398,30345.461532671354,28520.955397290385,30227.452155874904,26090.364518818482,22998.42346723712,22961.275913083948,31182.433527165285,36020.941683968289,32060.058968750822,35335.049666158673,37637.301675142873,33036.300235222006,33271.15075357254,36919.388674799033,44583.5965073644,50787.023835269385,58500.368411183081,57416.5257639278,59005.430389253364,61413.264460322127,62247.432922882996,70446.896306602648,80732.346237998121,95153.255815218479,101480.50912937778,72621.082348589349,80969.663869711047,83749.142563968169,74252.678576819017,70946.4604791991,67383.629673981777,73795.299396998555,79077.950821626975,80330.666666666657,81470.698991250072
Türkiye,,‖105,...,...,...,...,1142.7476029997986,1155.7627245538915,1168.7418010739341,1082.0970557561238,1005.3761430999436,976.55964101464463,1162.1138088764897,1281.4495501770236,1440.8154328128264,1534.5672648993534,1576.7473491785465,1691.0665714593945,1771.7608510552993,1775.4535710294419,1912.875268644643,2138.6080832888965,2073.337078236179,2299.807529591802,2635.3533140792792,2769.9089773544065,2936.8370576643133,3292.6667768979764,5758.1089883598079,6049.6796635589235,5824.9894359976615,5333.9434558515186,4732.7343360451205,4905.285512551377,5534.33289297168,6050.2195383459448,5724.4889977853554,5564.8832396660537,5903.8502809382153,6633.418494802956,6335.1116712503981,5580.0030138968386,6456.3673072820848,7801.5343281449623,8019.7457331667147,8435.5185740127235,9326.513317306084,9118.408650237172,9367.5137628644316,10483.885681793312,10926.385821396676,11449.040053994993,12641.449761608508,12234.098229041929,11215.255028509491,11933.010721031389,11097.237100226317,10312.678706367818,9939.55845546278,10404.512939850702,10032.270887368657,10176.688229395653,10889.152774424161,10696.50928448448,10788.265097637373,11053.030121812446,11351.282241825587,11434.106106736082,11765.73329668304,13794.535267447553,14805.931890879952,18792.827518435504,19977.307646644917,16980.775537882575,17277.662289749642,18511.659889132217,22059.6160101515,25012.152848366193,26812.974101076325
